window_id,start_utc,source,step,bx,by,bz,bt,density,speed,temperature
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,15,-2.020057,1.717453,0.01585196,1.454726,-0.4162468,3.157939,1.279332
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,16,1.110371,1.940663,-0.2799969,1.103041,0.4099953,3.180621,1.06079
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,17,0.6228704,1.850316,-0.2536992,0.7805793,0.5944849,3.187981,0.9567985
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,18,0.9754651,1.996465,-0.02030734,1.090037,0.3353731,3.182725,0.9567985
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,19,0.6014081,2.96105,0.2196589,2.21573,-0.05004218,3.158468,1.108629
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,20,0.4971627,2.721897,0.01913917,1.872852,0.9233837,3.290268,1.020695
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,21,-0.76298,2.262191,-0.2964329,1.348804,1.018023,3.256779,1.174457
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,22,-0.9285462,1.571304,-0.8092375,0.6943755,0.7333719,3.178516,1.311293
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,23,1.674522,2.844131,-0.1156364,2.462744,1.268919,3.333175,1.216618
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,24,1.913674,3.306494,0.1703508,3.14149,1.68199,3.518345,1.198513
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,25,1.177824,2.761756,0.4399019,2.156844,1.256651,3.407775,1.03781
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,26,0.5523515,2.583719,0.5385182,1.750907,0.6220642,3.264014,0.7806238
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,27,0.7639083,2.918534,0.4497636,2.22065,1.0051,3.290782,0.9579525
